客户代码,行业,企业规模,企业性质,城市层级,数据日期,购买产品,已使用产品,使用次数,使用种类,距到期天数,年合同金额
C001,电商,大型,民营,一线,2026-08-01,"简历快读,智能邀约,超级聊聊","简历快读",40,1,60,180000
C002,教育,中型,民营,新一线,2026-08-01,"简历快读,超级聊聊","简历快读",15,1,35,90000
C003,金融,大型,国企,一线,2026-08-01,"智能邀约",,0,0,25,250000
C004,制造,小型,民营,二线,2026-08-01,"简历快读,超级聊聊","简历快读,超级聊聊",120,2,300,60000
C005,互联网,中型,民营,一线,2026-08-01,"简历快读,智能邀约,超级聊聊","简历快读,智能邀约",90,2,80,150000
C006,医疗,大型,外企,新一线,2026-08-01,"智能邀约","智能邀约",60,1,15,220000
C007,零售,小型,民营,三线,2026-08-01,"简历快读",,0,0,45,55000
C008,物流,中型,民营,二线,2026-08-01,"简历快读,超级聊聊","超级聊聊",30,1,120,80000
C009,教育,大型,民营,一线,2026-08-01,"简历快读,智能邀约,超级聊聊","简历快读,智能邀约,超级聊聊",200,3,220,160000
C010,金融,中型,国企,新一线,2026-08-01,"智能邀约,超级聊聊","智能邀约",25,1,50,130000
C001,电商,大型,民营,一线,2026-08-08,"简历快读,智能邀约,超级聊聊","简历快读,智能邀约",70,2,53,180000
C002,教育,中型,民营,新一线,2026-08-08,"简历快读,超级聊聊","简历快读",18,1,28,90000
C003,金融,大型,国企,一线,2026-08-08,"智能邀约","智能邀约",20,1,18,250000
C004,制造,小型,民营,二线,2026-08-08,"简历快读,超级聊聊","简历快读,超级聊聊",130,2,293,60000
C005,互联网,中型,民营,一线,2026-08-08,"简历快读,智能邀约,超级聊聊","简历快读,智能邀约,超级聊聊",140,3,73,150000
C006,医疗,大型,外企,新一线,2026-08-08,"智能邀约","智能邀约",65,1,8,220000
C007,零售,小型,民营,三线,2026-08-08,"简历快读","简历快读",10,1,38,55000
C008,物流,中型,民营,二线,2026-08-08,"简历快读,超级聊聊","超级聊聊",28,1,113,80000
C009,教育,大型,民营,一线,2026-08-08,"简历快读,智能邀约,超级聊聊","简历快读,智能邀约,超级聊聊",240,3,213,160000
C010,金融,中型,国企,新一线,2026-08-08,"智能邀约,超级聊聊","智能邀约,超级聊聊",45,2,43,130000
C001,电商,大型,民营,一线,2026-08-15,"简历快读,智能邀约,超级聊聊","简历快读,智能邀约,超级聊聊",110,3,46,180000
C002,教育,中型,民营,新一线,2026-08-15,"简历快读,超级聊聊","简历快读",16,1,21,90000
C003,金融,大型,国企,一线,2026-08-15,"智能邀约","智能邀约",22,1,11,250000
C004,制造,小型,民营,二线,2026-08-15,"简历快读,超级聊聊","简历快读,超级聊聊",125,2,286,60000
C005,互联网,中型,民营,一线,2026-08-15,"简历快读,智能邀约,超级聊聊","简历快读,智能邀约,超级聊聊",160,3,66,150000
C006,医疗,大型,外企,新一线,2026-08-15,"智能邀约",,0,0,3,220000
C007,零售,小型,民营,三线,2026-08-15,"简历快读","简历快读",12,1,31,55000
C008,物流,中型,民营,二线,2026-08-15,"简历快读,超级聊聊","简历快读,超级聊聊",55,2,106,80000
C009,教育,大型,民营,一线,2026-08-15,"简历快读,智能邀约,超级聊聊","简历快读,智能邀约,超级聊聊",260,3,206,160000
C010,金融,中型,国企,新一线,2026-08-15,"智能邀约,超级聊聊","智能邀约,超级聊聊",50,2,36,130000
